"","VALUE","COUNT","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"78",9324,6208,"Southeastern Ruderal Wet Meadow & Marsh",9324,2576,"He Southeastern Ruderal Wet Meadow & Marsh","Herb","Riparian",709,"Introduced Herbaceous Wetland Vegetation","LF 59: Introduced Herbaceous Wetland and Riparian Vegetation","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,1381,0.003
"79",9766,4497,"Tamaulipan Closed Depression Wetland Shrubland",9266,2396,"Tr Tamaulipan Closed Depression Wetland","Shrub","Riparian",650,"Depressional Wetland","LF 43: Great Plains Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",91,195,199,0.356863,0.764706,0.780392,1000,0.003
"80",7475,4444,"Tamaulipan Floodplain Herbaceous",7467,2467,"Tr Tamaulipan Floodplain Forest","Herb","Riparian",666,"Eastern Floodplain Forests","LF 42: Great Plains Riparian","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",6,53,122,0.023529,0.207843,0.478431,988,0.002
"81",7981,3797,"Western Warm Temperate Vineyard",7981,2961,"Da Vineyard","Agriculture","Agricultural",61,"Agricultural-Vineyard","LF 80: Agriculture","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",168,0,132,0.658824,0,0.517647,844,0.002
"82",9527,3797,"Western Great Plains Floodplain Herbaceous",9026,2162,"Tr Western Great Plains Floodplain Systems","Herb","Riparian",635,"Western Riparian Woodland and Shrubland","LF 42: Great Plains Riparian","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",6,53,122,0.023529,0.207843,0.478431,844,0.002
"83",7121,2464,"Apacherian-Chihuahuan Semi-Desert Shrub-Steppe",7121,2121,"Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe","Shrub","Shrubland",618,"Grassland and Steppe","SRM 505: Grama-Tobosa Shrub","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,204,51,1,0.8,0.2,548,0.001
"84",7964,952,"Western Cool Temperate Row Crop",7964,2964,"Da Row Crop","Agriculture","Agricultural",64,"Agricultural-Row Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,255,119,0.980392,1,0.466667,212,0.001
"85",7968,1487,"Western Cool Temperate Wheat",7968,2968,"Da Wheat","Agriculture","Agricultural",68,"Agricultural-Wheat","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,227,163,0.980392,0.890196,0.639216,331,0.001
"86",7974,990,"Eastern Cool Temperate Row Crop",7974,2964,"Da Row Crop","Agriculture","Agricultural",64,"Agricultural-Row Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,255,119,0.980392,1,0.466667,220,0.001
"87",9026,2415,"Western Great Plains Floodplain Forest and Woodland",9026,2162,"Tr Western Great Plains Floodplain Systems","Tree","Riparian",635,"Western Riparian Woodland and Shrubland","LF 42: Great Plains Riparian","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,537,0.001
